2023      1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18
ATL   1  29, 10, -9,-30, 32, 28,-27,-11, 15,-23,  0, 17,-19, 27,-29,  2, -4,-17
IND   2  30,-32, -6, 13, 11,-30, 31, 17,-29,-16,  0, 27,-11, -5, 22, -1, 20, 32
BUF   3 -19, 20,-28, 14, 30, 18,-16, 27, -5,  8, 19,-21,  0,-12,  7,-24, 16,-14
CHI   4  10,-27,-12,  8,-28, 15, 20,-24,-17, 29, -9,-15,  0,  9,-31, 23,  1,-10
CIN   5 -31,  6, 13,-11,-23, 26,  0,-25,  3, 32, -6, 22,-30,  2, 15,-22,-12, 31
BAL   6  32, -5,  2,-31,-22,-11,  9,-23, 26, 31,  5,-24,  0, 13,-30,-25, 14, 22
DAL   7 -18, 19,-23, 16,-25,-24,  0, 13,-21, 18,-29, 28, 26, 21, -3,-14,  9,-28
DEN   8  20, 28,-14, -4, 19,-12, 10, 12,  0, -3, 15, 31,-32,-24, -9, 16, 24,-20
DET   9 -12, 26,  1,-10, 29,-27, -6, 20,  0,-24,  4, 10,-17, -4,  8,-15, -7, 15
GB   10  -4, -1, 17,  9,-20,  0, -8, 15, 13,-22, 24, -9, 12,-18, 27,-29,-15,  4
TEN  11 -17, 24,-31,  5, -2,  6,  0,  1,-22,-27,-30, 29,  2,-14, 32, 26,-32, 30
KC   12   9,-30,  4,-19,-15,  8, 24, -8, 14,  0, 21,-20,-10,  3,-16, 20,  5,-24
LAR  13 -26, 25, -5, -2, 21, 23, 22, -7,-10,  0, 26,-23, 31, -6, 28, 17,-18,-25
MIA  14 -24,-16,  8, -3, 18, 29,-21, 16,-12,  0, 20,-19,-28, 11, 19,  7, -6,  3
MIN  15  27,-21, 24,-29, 12, -4, 25,-10, -1, 17, -8,  4,  0,-20, -5,  9, 10, -9
NE   16  21, 14,-19, -7, 17,-20,  3,-14, 28,  2,  0,-18, 24,-22, 12, -8, -3, 19
NO   17  11,-29,-10, 27,-16,-32, 30, -2,  4,-15,  0, -1,  9, 29, 18,-13,-27,  1
NYG  18   7,-23,-25, 26,-14, -3, 28, 19,-20, -7,-28, 16,  0, 10,-17,-21, 13, 21
NYJ  19   3, -7, 16, 12, -8, 21,  0,-18, 24,-20, -3, 14,  1, 32,-14, 28,-31,-16
LVR  20  -8, -3, 22,-24, 10, 16, -4, -9, 18, 19,-14, 12,  0, 15, 24,-12, -2,  8
PHI  21 -16, 15,-27, 28,-13,-19, 14,-28,  7,  0,-12,  3, 25, -7,-26, 18, 23,-18
PIT  22  25, 31,-20,-32,  6,  0,-13, 30, 11, 10,-31, -5, 23, 16, -2,  5,-26, -6
ARI  23 -28, 18,  7,-25,  5,-13,-26,  6,-31,  1,-32, 13,-22,  0, 25, -4,-21, 26
LAC  24  14,-11,-15, 20,  0,  7,-12,  4,-19,  9,-10,  6,-16,  8,-20,  3, -8, 12
SF   25 -22,-13, 18, 23,  7,-31,-15,  5,  0,-30, 27,-26,-21, 26,-23,  6,-28, 13
SEA  26  13, -9, 29,-18,  0, -5, 23, 31, -6, 28,-13, 25, -7,-25, 21,-11, 22,-23
TB   27 -15,  4, 21,-17,  0,  9,  1, -3,-32, 11,-25, -2, 29, -1,-10, 30, 17,-29
WAS  28  23, -8,  3,-21,  4, -1,-18, 21,-16,-26, 18, -7, 14,  0,-13,-19, 25, -1
CAR  29  -1, 17,-26, 15, -9,-14,  0, 32,  2, -4,  7,-11,-27,-17,  1, 10,-30, 27
JAC  30  -2, 12, 32,  1, -3,  2,-17,-22,  0, 25, 11,-32,  5,-31,  6,-27, 29,-11
CLE  31   5,-22, 11,  6,  0, 25, -2,-26, 23, -6, 22, -8,-13, 30,  4,-32, 19, -5
HOU  32  -6,  2,-30, 22, -1, 17,  0,-29, 27, -5, 23, 30,  8,-19,-11, 31, 11, -2

37526618227845253158164844313767
11211122222211211212121121111211
