2022      1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18
ATL   1  17,-13,-26, 31,-27, 25, -5, 29, 24,-29,  4,-28, 22,  0,-17, -6, 23, 27
IND   2 -32,-30, 12, 11, -8, 30,-11, 28,-16,-20, 21, 22, -7,  0,-15, 24,-18, 32
BUF   3 -13, 11,-14, -6, 22,-12,  0, 10,-19, 15, 31, -9,-16, 19, 14, -4, -5, 16
CHI   4  25,-10, 32,-18,-15, 28,-16, -7, 14,  9, -1,-19, 10,  0, 21,  3, -9, 15
CIN   5  22, -7,-19, 14, -6,-17,  1,-31, 29,  0,-22,-11, 12, 31,-27,-16,  3,  6
BAL   6 -19, 14,-16,  3,  5,-18, 31,-27,-17,  0, 29,-30,  8,-22,-31,  1, 22, -5
DAL   7  27,  5,-18, 28,-13,-21,  9,  4,  0,-10,-15, 18,  2, 32,-30, 21,-11,-28
DEN   8 -26, 32, 25,-20,  2,-24, 19,-30,  0,-11, 20,-29, -6, 12, 23,-13,-12, 24
DET   9  21, 28,-15, 26,-16,  0, -7, 14, 10, -4,-18,  3, 30, 15,-19,-29,  4,-10
GB   10 -15,  4,-27, 16, 18, 19,-28, -3, -9,  7, 11,-21, -4,  0, 13,-14, 15,  9
TEN  11  18, -3, 20, -2,-28,  0,  2,-32,-12,  8,-10,  5,-21, 30,-24, 32,  7,-30
KC   12 -23, 24, -2,-27, 20,  3,-25,  0, 11, 30,-24, 13, -5, -8,-32, 26,  8,-20
LAR  13   3,  1,-23,-25,  7, 29,  0, 25,-27, 23,-17,-12, 26, 20,-10,  8,-24,-26
MIA  14  16, -6,  3, -5,-19, 15, 22, -9, -4, 31,  0, 32,-25,-24, -3, 10,-16, 19
MIN  15  10,-21,  9,-17,  4,-14,  0, 23,-28, -3,  7, 16, 19, -9,  2, 18,-10, -4
NE   16 -14,-22,  6,-10,  9,-31,  4,-19,  2,  0, 19,-15,  3,-23,-20,  5, 14, -3
NO   17  -1, 27,-29, 15, 26,  5,-23, 20,  6,-22, 13,-25,-27,  0,  1,-31,-21, 29
NYG  18 -11, 29,  7,  4,-10,  6,-30,-26,  0, 32,  9, -7, 28, 21,-28,-15,  2,-21
NYJ  19   6,-31,  5,-22, 14,-10, -8, 16,  3,  0,-16,  4,-15, -3,  9, 30,-26,-14
LVR  20 -24, 23,-11,  8,-12,  0, 32,-17,-30,  2, -8,-26, 24,-13, 16,-22, 25, 12
PHI  21  -9, 15,-28, 30,-23,  7,  0, 22,-32, 28, -2, 10, 11,-18, -4, -7, 17, 18
PIT  22  -5, 16,-31, 19, -3, 27,-14,-21,  0, 17,  5, -2, -1,  6,-29, 20, -6, 31
ARI  23  12,-20, 13,-29, 21,-26, 17,-15, 26,-13, 25, 24,  0, 16, -8, 27, -1,-25
LAC  24  20,-12, 30,-32,-31,  8, 26,  0, -1,-25, 12,-23,-20, 14, 11, -2, 13, -8
SF   25  -4, 26, -8, 13,-29, -1, 12,-13,  0, 24,-23, 17, 14, 27,-26, 28,-20, 23
SEA  26   8,-25,  1, -9,-17, 23,-24, 18,-23,-27,  0, 20,-13, 29, 25,-12, 19, 13
TB   27  -7,-17, 10, 12,  1,-22,-29,  6, 13, 26,  0,-31, 17,-25,  5,-23, 29, -1
WAS  28  30, -9, 21, -7, 11, -4, 10, -2, 15,-21,-32,  1,-18,  0, 18,-25, 31,  7
CAR  29  31,-18, 17, 23, 25,-13, 27, -1, -5,  1, -6,  8,  0,-26, 22,  9,-27,-17
JAC  30 -28,  2,-24,-21, 32, -2, 18,  8, 20,-12,  0,  6, -9,-11,  7,-19,-32, 11
CLE  31 -29, 19, 22, -1, 24, 16, -6,  5,  0,-14, -3, 27,-32, -5,  6, 17,-28,-22
HOU  32   2, -8, -4, 24,-30,  0,-20, 11, 21,-18, 28,-14, 31, -7, 12,-11, 30, -2

37526618227845253158164844313767
11211122222211211212121121111211
