2025      1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18
ATL   1  27,-15,-29, 28,  0,  3,-25, 14,-16, -2, 29,-17,-19, 26,-27,-23, 13, 17
IND   2  14,  8,-11,-13, 20, 23,-24, 11,-22,  1,  0,-12, 32,-30,-26, 25, 30,-32
BUF   3   6,-19, 14, 17, 16, -1,  0,-29, 12,-14, 27,-32,-22,  5,-16,-31, 21, 19
CHI   4  15, -9,  7,-20,  0,-28, 17, -6, -5, 18,-15, 22,-21,-10, 31, 10,-25,  9
CIN   5 -31, 30,-15, -8,  9,-10, 22, 19,  4,  0,-22, 16, -6, -3,  6,-14, 23, 31
BAL   6  -3, 31,  9,-12, 32, 13,  0,  4,-14,-15,-31, 19,  5, 22, -5, 16,-10,-22
DAL   7 -21, 18, -4, 10,-19,-29, 28, -8, 23,  0,-20, 21, 12, -9, 15, 24,-28,-18
DEN   8  11, -2,-24,  5,-21,-19, 18,  7,-32, 20, 12,  0,-28,-20, 10, 30,-12, 24
DET   9 -10,  4, -6, 31, -5,-12, 27,  0, 15,-28,-21, 18, 10,  7,-13, 22,-15, -4
GB   10   9, 28,-31, -7,  0,  5,-23,-22, 29, 21,-18, 15, -9,  4, -8, -4,  6,-15
TEN  11  -8, 13,  2,-32,-23,-20, 16, -2, 24,  0, 32, 26, 30,-31,-25, 12, 17,-30
KC   12 -24, 21,-18,  6,-30,  9, 20, 28, -3,  0, -8,  2, -7, 32, 24,-11,  8,-20
LAR  13  32,-11,-21,  2, 25, -6,-30,  0, 17,-25, 26, 27,-29,-23,  9,-26, -1, 23
MIA  14  -2, 16, -3, 19,-29, 24,-31, -1,  6,  3, 28,  0, 17,-19,-22,  5, 27,-16
MIN  15  -4,  1,  5,-22,-31,  0, 21,-24, -9,  6,  4,-10,-26, 28, -7,-18,  9, 10
NE   16  20,-14, 22, 29, -3,-17,-11, 31,  1,-27, 19, -5, 18,  0,  3, -6,-19, 14
NO   17  23, 25,-26, -3, 18, 16, -4, 27,-13,-29,  0,  1,-14,-27, 29, 19,-11, -1
NYG  18 -28, -7, 12, 24,-17, 21, -8,-21, 25, -4, 10, -9,-16,  0, 28, 15,-20,  7
NYJ  19  22,  3,-27,-14,  7,  8, 29, -5,  0, 31,-16, -6,  1, 14,-30,-17, 16, -3
LVR  20 -16, 24,-28,  4, -2, 11,-12,  0, 30, -8,  7, 31,-24,  8,-21,-32, 18, 12
PHI  21   7,-12, 13,-27,  8,-18,-15, 18,  0,-10,  9, -7,  4,-24, 20,-28, -3, 28
PIT  22 -19, 26,-16, 15,  0, 31, -5, 10,  2,-24,  5, -4,  3, -6, 14, -9,-31,  6
ARI  23 -17, 29,-25, 26, 11, -2, 10,  0, -7,-26, 25, 30,-27, 13,-32,  1, -5,-13
LAC  24  12,-20,  8,-18, 28,-14,  2, 15,-11, 22,-30,  0, 20, 21,-12, -7, 32, -8
SF   25 -26,-17, 23, 30,-13,-27,  1,-32,-18, 13,-23, 29,-31,  0, 11, -2,  4, 26
SEA  26  25,-22, 17,-23, 27,-30, 32,  0,-28, 23,-13,-11, 15, -1,  2, 13,-29,-25
TB   27  -1,-32, 19, 21,-26, 25, -9,-17,  0, 16, -3,-13, 23, 17,  1,-29,-14, 29
WAS  28  18,-10, 20, -1,-24,  4, -7,-12, 26,  9,-14,  0,  8,-15,-18, 21,  7,  1
CAR  29 -30,-23,  1,-16, 14,  7,-19,  3,-10, 17, -1,-25, 13,  0,-17, 27, 26,-27
JAC  30  29, -5, 32,-25, 12, 26, 13,  0,-20,-32, 24,-23,-11,  2, 19, -8, -2, 11
CLE  31   5, -6, 10, -9, 15,-22, 14,-16,  0,-19,  6,-20, 25, 11, -4,  3, 22, -5
HOU  32 -13, 27,-30, 11, -6,  0,-26, 25,  8, 30,-11,  3, -2,-12, 23, 20,-24,  2

37526618227845253158164844313767
11211122222211211212121121111211
